ItemID,ItemNo,Status,ReasonCode,status_code_id,status_date,FromLocationCode,FromLocationName,ToLocationCode,ToLocationName,CustAccNum
603,RX123116129SG,RP,,,2/1/2025 11:06,POJRP,Jurong Point,POJRP,Jurong Point,
604,RX123116177SG,RP,,,2/1/2025 10:24,POSPC,General Post Office,POSPC,General Post Office,
605,RX123116185SG,RP,,,2/1/2025 10:24,POSPC,General Post Office,POSPC,General Post Office,
606,RX123116217SG,RP,,,2/1/2025 11:23,POTNC,Tampines Central,POTNC,Tampines Central,
607,RX123116225SG,RP,,,2/1/2025 11:23,POTNC,Tampines Central,POTNC,Tampines Central,
608,RX123116234SG,RP,,,2/1/2025 10:47,POBPJ,Bukit Panjang,POBPJ,Bukit Panjang,
609,RX123116248SG,RP,,,2/1/2025 10:47,POBPJ,Bukit Panjang,POBPJ,Bukit Panjang,
610,RX131682134SG,PL,,,2/1/2025 10:04,PO041,POPStop Bishan,PO041,POPStop Bishan,
611,RX131682134SG,RP,,,2/1/2025 10:06,POBSH,Bishan,POBSH,Bishan,
612,RX131682488SG,RP,,,2/1/2025 10:20,POGYL,Geylang,POGYL,Geylang,
613,RX131682562SG,PL,,,2/1/2025 10:04,PO041,POPStop Bishan,PO041,POPStop Bishan,
614,RX131682562SG,RP,,,2/1/2025 10:06,POBSH,Bishan,POBSH,Bishan,
615,RX131682695SG,RP,,,2/1/2025 11:21,POTGP,Tanjong Pagar,POTGP,Tanjong Pagar,
616,RX131682752SG,RP,,,2/1/2025 11:21,POTGP,Tanjong Pagar,POTGP,Tanjong Pagar,
617,RX131682806SG,RP,,,2/1/2025 9:10,POBRB,Bras Basah,POBRB,Bras Basah,
618,RX131682837SG,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
619,RX131682845SG,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
620,RX131682854SG,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
621,RX131682868SG,RP,,,2/1/2025 10:51,POCSQ,City Square ,POCSQ,City Square ,
622,RX131682908SG,RP,,,2/1/2025 9:10,POBRB,Bras Basah,POBRB,Bras Basah,
